date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:47:14,38,0,0,0,0,0,0
2020-10-0610:47:15,,0,0,0,0,0,0
2020-10-0610:47:15,36,0,0,0,0,0,0
2020-10-0610:47:15,36,0,0,0,0,0,0
2020-10-0610:47:16,36,0,0,0,0,0,0
2020-10-0610:47:16,35,0,0,0,0,0,0
2020-10-0610:47:16,34,0,0,0,0,0,0
2020-10-0610:47:17,,0,0,0,0,0,0
2020-10-0610:47:17,4,0,0,0,0,0,0
2020-10-0610:47:17,,0,0,0,0,0,0
2020-10-0610:47:18,37,0,0,0,0,0,0
2020-10-0610:47:18,8,0,0,0,0,0,0
2020-10-0610:47:18,29,0,0,0,0,0,0
2020-10-0610:47:19,29,0,0,0,0,0,0
2020-10-0610:47:19,28,0,0,0,0,0,0
2020-10-0610:47:19,27,0,0,0,0,0,0
2020-10-0610:47:20,,0,0,0,0,0,0
2020-10-0610:47:20,26,0,0,0,0,0,0
2020-10-0610:47:20,25,0,0,0,0,0,0
2020-10-0610:47:21,,0,0,0,0,0,0
2020-10-0610:47:21,,0,0,0.5449,0,0,0
2020-10-0610:47:21,20,0,0,0.9518,0,0,0
2020-10-0610:47:22,,0,0,0.4157,0,0,0
2020-10-0610:47:22,,0,0,0.2566,0,0,0
2020-10-0610:47:22,,0,0,0.1658,0,0,0
2020-10-0610:47:23,,0,0,0.1353,0,0,0
2020-10-0610:47:23,,0,0,0,0,0,0
2020-10-0610:47:23,,0,0,0,0,0,0
2020-10-0610:47:24,,0,0,0,0,0,0
2020-10-0610:47:24,,0,0,0.4145,0,0.0325,0
2020-10-0610:47:24,,0,0,0.3808,0,0,0
2020-10-0610:47:25,4,0,0,0,0,0,0
2020-10-0610:47:25,27,0,0,0,0,0,0
2020-10-0610:47:25,28,0,0,0,0,0.0305,0
2020-10-0610:47:26,,0,0,0,0,0,0
2020-10-0610:47:26,32,0,0,0,0,0,0
2020-10-0610:47:26,32,0,0,0,0,0,0
2020-10-0610:47:27,,0,0,0,0,0,0
2020-10-0610:47:27,,0,0,0,0,0,0
2020-10-0610:47:27,35,0,0,0,0,0,0
2020-10-0610:47:28,36,0,0,0,0,0,0
2020-10-0610:47:28,,0,0,0,0,0,0
2020-10-0610:47:28,37,0,0,0,0,0,0
2020-10-0610:47:29,37,0,0,0,0,0,0
2020-10-0610:47:29,37,0,0,0,0,0,0
2020-10-0610:47:29,,0,0,0,0,0,0
2020-10-0610:47:30,,0,0,0,0,0,0
