date,time,speed,ldws,lkas
2020-10-23,15:21:42,82,1,1
2020-10-23,15:21:43,82,1,1
2020-10-23,15:21:44,81,1,1
2020-10-23,15:21:45,80,1,1
2020-10-23,15:21:46,79,1,1
2020-10-23,15:21:47,78,1,1
2020-10-23,15:21:48,77,1,1
2020-10-23,15:21:49,75,1,1
2020-10-23,15:21:50,74,1,1
2020-10-23,15:21:51,73,1,1
2020-10-23,15:21:52,73,1,1
2020-10-23,15:21:53,73,1,1
2020-10-23,15:21:54,73,1,1
2020-10-23,15:21:55,73,1,1
2020-10-23,15:21:56,74,1,1
2020-10-23,15:21:57,74,1,1
2020-10-23,15:21:58,74,1,1
2020-10-23,15:21:59,75,1,1
2020-10-23,15:22:00,75,1,1
2020-10-23,15:22:01,74,1,1
2020-10-23,15:22:02,74,1,1
2020-10-23,15:22:03,74,1,1
2020-10-23,15:22:04,74,1,1
2020-10-23,15:22:05,74,1,1
2020-10-23,15:22:06,75,1,1
2020-10-23,15:22:07,77,1,1
2020-10-23,15:22:08,78,1,1
2020-10-23,15:22:09,80,1,1
2020-10-23,15:22:10,82,1,1
2020-10-23,15:22:11,83,1,1
2020-10-23,15:22:12,83,1,1
2020-10-23,15:22:13,83,1,1
2020-10-23,15:22:14,83,1,1
2020-10-23,15:22:15,84,1,1
2020-10-23,15:22:16,85,1,1
2020-10-23,15:22:17,85,1,1
2020-10-23,15:22:18,84,1,1
2020-10-23,15:22:19,84,1,1
2020-10-23,15:22:20,83,1,1
2020-10-23,15:22:21,81,1,1
2020-10-23,15:22:22,,1,1
2020-10-23,15:22:23,76,1,1
2020-10-23,15:22:24,76,1,1
2020-10-23,15:22:25,77,1,1
2020-10-23,15:22:26,79,1,1
2020-10-23,15:22:27,80,1,1
2020-10-23,15:22:28,81,1,0
2020-10-23,15:22:29,84,1,0
2020-10-23,15:22:30,87,1,0
2020-10-23,15:22:31,89,1,0
2020-10-23,15:22:32,92,1,0
2020-10-23,15:22:33,95,1,0
2020-10-23,15:22:34,99,1,1
2020-10-23,15:22:35,102,1,1
2020-10-23,15:22:36,105,1,1
2020-10-23,15:22:37,107,1,1
2020-10-23,15:22:38,108,1,1
2020-10-23,15:22:39,109,1,1
2020-10-23,15:22:40,108,1,1
2020-10-23,15:22:41,170,1,1
2020-10-23,15:22:42,106,1,1
2020-10-23,15:22:43,103,1,1
2020-10-23,15:22:44,102,1,1
2020-10-23,15:22:45,130,1,1
2020-10-23,15:22:46,140,1,1
2020-10-23,15:22:47,105,1,1
2020-10-23,15:22:48,107,1,1
2020-10-23,15:22:49,109,1,1
2020-10-23,15:22:50,109,1,1
2020-10-23,15:22:51,109,1,1
2020-10-23,15:22:52,108,1,1
2020-10-23,15:22:53,107,1,1
2020-10-23,15:22:54,107,1,1
2020-10-23,15:22:55,107,1,1
2020-10-23,15:22:56,106,1,1
2020-10-23,15:22:57,105,1,1
2020-10-23,15:22:58,106,1,1
2020-10-23,15:22:59,104,1,1
2020-10-23,15:23:00,103,1,1
2020-10-23,15:23:01,102,1,1
2020-10-23,15:23:02,100,1,1
2020-10-23,15:23:03,98,1,1
